date,ticker,close,volume,pct_1d,pct_5d,sma20,rsi14,quality,action,recommendation
2026-08-14,IRWD,4.3099,1265892,5.635,-0.234,4.0445,57.52,pass,PAPER_CANDIDATE,
2026-08-14,PLX,2.23,700127,-5.508,-9.35,2.3835,42.06,watch,WATCH,
2026-08-14,IDN,2.76,2011036,-26.4,-29.771,3.696,28.36,watch,WATCH,
2026-08-14,CRON,3.12,782465,-1.266,0.645,2.914,64.13,avoid,AVOID,
2026-08-14,NNBR,3.865,5969005,7.064,2.52,3.5692,58.35,avoid,AVOID,
2026-08-14,CHMI,2.92,188337,0.344,21.162,2.4525,88.64,avoid,AVOID,
2026-08-14,BRBS,3.7,125959,-1.333,0.271,3.574,70.0,avoid,AVOID,
2026-08-14,ANNA,2.68,190939,7.2,5.512,2.9295,26.95,avoid,AVOID,
2026-08-14,SND,5.065,282069,2.323,12.058,4.576,58.0,avoid,AVOID,
2026-08-17,IRWD,4.365,546860,1.276,7.778,4.0703,60.84,pass,PAPER_CANDIDATE,Buy (paper)
2026-08-17,PLX,2.34,665480,5.405,-5.645,2.3795,50.44,watch,WATCH,Watch
2026-08-17,IDN,2.96,851446,5.338,-21.277,3.654,33.81,watch,WATCH,Watch
2026-08-17,CRON,3.1511,636058,0.353,5.037,2.9326,66.71,avoid,AVOID,Avoid
2026-08-17,NNBR,4.19,1752440,7.436,15.427,3.6065,68.87,avoid,AVOID,Avoid
2026-08-17,CHMI,2.915,178737,-0.171,4.48,2.4818,89.14,avoid,AVOID,Avoid
2026-08-17,BRBS,4.005,3446229,8.537,8.243,3.6008,78.77,avoid,AVOID,Avoid
2026-08-17,ANNA,2.72,79850,-1.091,5.837,2.897,36.29,avoid,AVOID,Avoid
2026-08-17,SND,5.09,158288,-0.196,10.893,4.5977,79.81,avoid,AVOID,Avoid
